term_id,term_name,source,p_value,gene_count,osd_id
GO:0006950,Stress response,GO:BP,0.0009040521922087141,14,OSD-105
GO:0006281,DNA repair,GO:BP,0.0014861966240411642,21,OSD-105
GO:0007049,Cell cycle,GO:BP,0.0031983398983195742,23,OSD-105
GO:0006915,Apoptotic process,GO:BP,0.0076873522560726515,10,OSD-105
GO:0007267,Cell-cell signaling,GO:BP,0.005917410974865545,23,OSD-105
GO:0006954,Inflammatory response,GO:BP,0.010509822985121634,3,OSD-105
GO:0006091,Generation of precursor metabolites and energy,GO:BP,0.017980641797726526,9,OSD-105
GO:0006351,"Transcription, DNA-templated",GO:BP,0.012140357777702197,32,OSD-105
GO:0006457,Protein folding,GO:BP,0.01998129236688652,10,OSD-105
GO:0006810,Transport,GO:BP,0.026213906087331623,20,OSD-105
GO:0005524,ATP binding,GO:MF,0.0012549138060575073,8,OSD-105
GO:0003677,DNA binding,GO:MF,0.004897146952083415,29,OSD-105
GO:0005515,Protein binding,GO:MF,0.009360738399484063,30,OSD-105
GO:0016740,Transferase activity,GO:MF,0.01528759059623411,16,OSD-105
GO:0008233,Peptidase activity,GO:MF,0.020208018305888135,23,OSD-105
GO:0005634,Nucleus,GO:CC,0.0020486373256737036,8,OSD-105
GO:0005737,Cytoplasm,GO:CC,0.006577097637763657,25,OSD-105
GO:0005886,Plasma membrane,GO:CC,0.01307656856376648,18,OSD-105
GO:0005829,Cytosol,GO:CC,0.016656093047849613,24,OSD-105
GO:0005739,Mitochondrion,GO:CC,0.02084743922734014,6,OSD-105
KEGG:04010,MAPK signaling pathway,KEGG,0.0004894749447535531,3,OSD-105
KEGG:04110,Cell cycle,KEGG,0.0031434772484387236,16,OSD-105
KEGG:04210,Apoptosis,KEGG,0.006307036351437218,9,OSD-105
KEGG:04620,Toll-like receptor signaling pathway,KEGG,0.006256828465147453,3,OSD-105
KEGG:04140,Autophagy,KEGG,0.009123992954841485,21,OSD-105
KEGG:00020,Citrate cycle (TCA cycle),KEGG,0.011082669600473046,3,OSD-105
KEGG:00190,Oxidative phosphorylation,KEGG,0.02223354823355863,14,OSD-105
KEGG:03050,Proteasome,KEGG,0.02037359880334986,20,OSD-105
KEGG:04310,Wnt signaling pathway,KEGG,0.03416739958301276,14,OSD-105
KEGG:04630,JAK-STAT signaling pathway,KEGG,0.031230162462124948,25,OSD-105
